                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6747,                 3.9487,                 4.0064,                      0,                      0,                      0,                      0,                 3.4048,                 5.0236,                 4.1755,             0.00019284,             0.00019284,             0.00019284
                      2,                 2.3927,                 1.8053,                  3.212,                0.14533,                0.49343,                0.39899,                0.14739,                 3.1106,                 3.8114,                 3.7865,             0.00038114,             0.00038114,             0.00038114
                      3,                 1.5651,                 1.1139,                 2.3995,                0.93698,                0.91559,                0.96069,                0.70823,                 1.1433,                0.96547,                 2.1233,             0.00056168,             0.00056168,             0.00056168
                      4,                 1.2448,                0.88285,                 1.9666,                0.98629,                0.96722,                0.97256,                0.72911,                 1.0713,                0.72651,                 1.8388,             0.00055307,             0.00055307,             0.00055307
                      5,                 1.0966,                0.76412,                 1.7442,                 0.9871,                0.97769,                0.97821,                0.80633,                0.85124,                0.66475,                 1.5496,             0.00055307,             0.00055307,             0.00055307
                      6,                0.93396,                0.66528,                 1.5675,                0.99153,                0.97378,                0.97936,                0.85086,                0.67012,                0.57263,                 1.4061,             0.00054143,             0.00054143,             0.00054143
                      7,                0.82084,                0.59427,                  1.437,                0.98924,                0.97985,                0.98145,                0.87781,                0.57339,                0.50032,                 1.2915,             0.00052979,             0.00052979,             0.00052979
                      8,                0.73225,                0.54685,                 1.3545,                0.99185,                0.97909,                0.98136,                0.90354,                 0.4509,                0.43293,                 1.1749,             0.00051815,             0.00051815,             0.00051815
                      9,                0.73763,                0.51953,                  1.304,                0.98961,                 0.9817,                 0.9824,                0.87868,                0.53536,                0.43519,                 1.1575,              0.0005065,              0.0005065,              0.0005065
                     10,                0.69165,                0.49661,                 1.2568,                0.99151,                0.98346,                0.98393,                0.88283,                0.50696,                0.40074,                  1.135,             0.00049486,             0.00049486,             0.00049486
                     11,                 0.6313,                0.46889,                 1.2099,                0.99392,                0.98162,                 0.9837,                0.90158,                0.43675,                 0.3677,                 1.0782,             0.00048322,             0.00048322,             0.00048322
                     12,                0.60793,                0.45167,                 1.1771,                0.99263,                0.98296,                0.98638,                0.90423,                0.43348,                0.35256,                 1.0426,             0.00047158,             0.00047158,             0.00047158
                     13,                0.58011,                 0.4303,                 1.1508,                0.99452,                0.98506,                0.98701,                0.92636,                0.38029,                0.34836,                  1.009,             0.00045993,             0.00045993,             0.00045993
                     14,                  0.572,                0.41789,                 1.1306,                0.99261,                0.98525,                0.98759,                0.92458,                0.41537,                0.33233,                 1.0218,             0.00044829,             0.00044829,             0.00044829
                     15,                0.53849,                0.40094,                 1.1015,                0.99465,                0.98384,                 0.9877,                 0.9288,                 0.3824,                0.31626,                0.98555,             0.00043665,             0.00043665,             0.00043665
                     16,                0.51597,                0.38957,                 1.0863,                0.99448,                0.98627,                0.98839,                0.93195,                0.35756,                0.31553,                0.95902,             0.00042501,             0.00042501,             0.00042501
                     17,                0.50506,                0.38125,                 1.0669,                0.99412,                0.98769,                0.98872,                0.94792,                 0.3241,                0.29093,                0.94323,             0.00041336,             0.00041336,             0.00041336
                     18,                0.49048,                0.36874,                 1.0527,                0.99481,                0.98716,                 0.9887,                0.94038,                0.33614,                0.28052,                0.94228,             0.00040172,             0.00040172,             0.00040172
                     19,                0.46646,                 0.3609,                 1.0368,                0.99149,                0.98721,                0.98823,                0.95508,                0.28848,                0.25954,                  0.905,             0.00039008,             0.00039008,             0.00039008
                     20,                0.44214,                0.35076,                 1.0236,                0.99488,                0.98642,                0.98845,                0.93089,                0.36733,                0.28145,                 0.9504,             0.00037844,             0.00037844,             0.00037844
